"id","taxonID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","scientificName","acceptedNameUsage","parentNameUsage","namePublishedIn","namePublishedInYear","higherClassification","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","taxonomicStatus","nomenclaturalStatus","modified","bibliographicCitation","references"
"1187","1187","1135","1064","721","Zanthoxylum tuberculatum Engl.","Zanthoxylum monogynum A.St.-Hil. subsp. monogynum","Zanthoxylum L.","","","Flora;Angiospermas;Rutaceae A.Juss.;Zanthoxylum L.;Zanthoxylum tuberculatum Engl.","","","","Rutaceae","Zanthoxylum","tuberculatum","","ESPECIE","Engl.","SINONIMO","","2009-12-23 10:34:15.724703","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1187"
"1188","1188","1174","1064","","Zanthoxylum velutinum Benth.","Zanthoxylum rigidum Humb. & Bonpl. ex Willd.","Zanthoxylum L.","","","Flora;Angiospermas;Rutaceae A.Juss.;Zanthoxylum L.;Zanthoxylum velutinum Benth.","","","","Rutaceae","Zanthoxylum","velutinum","","ESPECIE","Benth.","SINONIMO","","2009-12-23 10:35:11.150932","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1188"
"1189","1189","1181","1064","723","Zanthoxylum weberbaueri (K.Krause) J.F.Macbr.","Zanthoxylum sprucei Engl.","Zanthoxylum L.","","","Flora;Angiospermas;Rutaceae A.Juss.;Zanthoxylum L.;Zanthoxylum weberbaueri (K.Krause) J.F.Macbr.","","","","Rutaceae","Zanthoxylum","weberbaueri","","ESPECIE","(K.Krause) J.F.Macbr.","SINONIMO","","2009-12-23 10:37:10.518721","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1189"
"1190","1190","1169","1064","724","Zanthoxylum williamii (Albuq.) P.G.Waterman","Zanthoxylum riedelianum Engl.","Zanthoxylum L.","","","Flora;Angiospermas;Rutaceae A.Juss.;Zanthoxylum L.;Zanthoxylum williamii (Albuq.) P.G.Waterman","","","","Rutaceae","Zanthoxylum","williamii","","ESPECIE","(Albuq.) P.G.Waterman","SINONIMO","","2009-12-23 10:37:56.721658","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1190"
"1192","1192","","222","","Aruba Aubl.","","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Aruba Aubl.","","","","Simaroubaceae","Aruba","","","GENERO","Aubl.","SINONIMO","","2009-12-14 11:09:14.639653","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1192"
"1197","1197","847","1192","847","Aruba alba Nees & Mart.","Neoraputia alba (Nees & Mart.) Emmerich ex Kallunki","Aruba Aubl.","","","Flora;Angiospermas;Simaroubaceae DC.;Aruba Aubl.;Aruba alba Nees & Mart.","","","","Simaroubaceae","Aruba","alba","","ESPECIE","Nees & Mart.","SINONIMO","","2009-12-14 11:05:20.176758","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1197"
"1199","1199","","44","","Schinus L.","","Anacardiaceae R.Br.","","","Flora;Angiospermas;Anacardiaceae R.Br.;Schinus L.","","","","Anacardiaceae","Schinus","","","GENERO","L.","NOME_ACEITO","NOME_CORRETO","2017-05-16 14:02:37.26","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1199"
"1200","1200","1104","1199","1104","Schinus fagara L.","Zanthoxylum fagara (L.) Sarg.","Schinus L.","Sp. Pl. 1: 389 1753","1753","Flora;Angiospermas;Anacardiaceae R.Br.;Schinus L.;Schinus fagara L.","","","","Anacardiaceae","Schinus","fagara","","ESPECIE","L.","SINONIMO","NOME_LEGITIMO_MAS_INCORRETO","2014-08-13 15:22:35.753","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1200"
"1201","1201","1300","222","","Aeschrion Vell.","Picrasma Blume","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Aeschrion Vell.","","","","Simaroubaceae","Aeschrion","","","GENERO","Vell.","SINONIMO","","2009-12-14 09:08:13.510618","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1201"
"1219","1219","1334","1192","","Aruba cedron (Planch.) Kuntze","Simaba cedron Planch.","Aruba Aubl.","","","Flora;Angiospermas;Simaroubaceae DC.;Aruba Aubl.;Aruba cedron (Planch.) Kuntze","","","","Simaroubaceae","Aruba","cedron","","ESPECIE","(Planch.) Kuntze","SINONIMO","","2009-12-14 10:49:07.733225","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1219"
"1220","1220","1349","1192","","Aruba guianensis Aubl.","Simaba guianensis Aubl.","Aruba Aubl.","","","Flora;Angiospermas;Simaroubaceae DC.;Aruba Aubl.;Aruba guianensis Aubl.","","","","Simaroubaceae","Aruba","guianensis","","ESPECIE","Aubl.","SINONIMO","","2009-12-14 11:08:04.156701","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1220"
"1224","1224","","222","","Castela Turpin","","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Castela Turpin","","","","Simaroubaceae","Castela","","","GENERO","Turpin","NOME_ACEITO","NOME_CORRETO","2014-09-29 14:05:40.402","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1224"
"1227","1227","1304","222","","Cedronia Cuatrec.","Picrolemma Hook.f.","Simaroubaceae DC.","","","Flora;Angiospermas;Simaroubaceae DC.;Cedronia Cuatrec.","","","","Simaroubaceae","Cedronia","","","GENERO","Cuatrec.","SINONIMO","","2013-06-13 14:04:06.144","Flora do Brasil 2020 em construção. Jardim Botânico do Rio de Janeiro. Disponível em: http://floradobrasil.jbrj.gov.br.","http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB1227"
