"id","vernacularName","language","locality"
"87863","pitombarana","PORTUGUES","Amazonas"
"87866","cascudo","PORTUGUES","Norte e Centro-oeste"
"87866","pau-de-espeto-vermelho","PORTUGUES","Norte e Centro-oeste"
"87866","pitombarana","PORTUGUES","Norte e Centro-oeste"
"88350","Aburana","PORTUGUES",""
"6738","bacuparí","PORTUGUES",""
"106136","Velvet grass","INGLES",""
"101011","vamos-junto, unha-de-gato, grapiá","PORTUGUES",""
"101015","guarucaia","PORTUGUES","SP"
"101015","monjoleiro","PORTUGUES","MG, PR, SP"
"101015","paricá-rana, paricá-branco","PORTUGUES","PA"
"101026","Paricarana, Tapiririca, Faveira-camuzé, Camuzé","PORTUGUES","Norte"
"101028","Babosa-serrana","PORTUGUES","Sul"
"101032","Babosa","PORTUGUES","Sul"
"101032","Babosa-do-banhado","PORTUGUES","Sul"
"101067","embira-de-carrapato","PORTUGUES","SE"
"101067","pau-carrapato","PORTUGUES","SE"
"101070","pega-pega","PORTUGUES","RS"
"101101","angico-do-litoral","PORTUGUES","sudeste"
"101101","macanaíba-do-nativo","PORTUGUES","sudeste"
"101103","amargozinho","PORTUGUES","centro-oeste"
"101103","perobinha","PORTUGUES","sudeste"
"101104","sobral","PORTUGUES","sudeste"
"101105","juruna","PORTUGUES","sudeste"
"101105","sucupira-da-beira-d´água","PORTUGUES","sudeste"
"101107","Guaraná-timbó","PORTUGUES","Sudeste"
"101113","Timbó-boticário","PORTUGUES","Sudeste"
"101117","Guaissara","PORTUGUES","São Paulo"
"101117","Guajussara","PORTUGUES","São Paulo"
"101117","Pau-ripa","PORTUGUES","Santa Catarina"
"101119","Tremoço","PORTUGUES","Sul"
"101120","Tremoço","PORTUGUES",""
"101122","Tromoço","PORTUGUES","Sul"
"101123","Tremoço","PORTUGUES",""
"101124","Tremoço","PORTUGUES",""
"101125","Tremoço","PORTUGUES","Sul"
"101136","Jacarandá-bico-de-pato","PORTUGUES",""
"101136","Jacarandá-trepador","PORTUGUES",""
"101137","Jacarandá-roseira","PORTUGUES",""
"101138","Unha-de-gato","PORTUGUES","Sudeste"
"101140","Jacarandá-piranga","PORTUGUES",""
"101140","Jacarandá-rosa","PORTUGUES",""
"101143","Unha-de-gato","PORTUGUES","Sudeste"
"101144","Jacarandá-de-espinho","PORTUGUES","Sul"
"101146","Jacarandá-preto","PORTUGUES",""
"101146","Jacarandá-roxo","PORTUGUES",""
"101149","Jacarandá-trepador","PORTUGUES",""
"101149","Unha-de-gato","PORTUGUES",""
"101150","Bico-de-ganso","PORTUGUES",""
"101150","Rabo-de-bugio","PORTUGUES",""
